8;"Nastąpi rozwój systemów eksperckich, zwłaszcza SWD w chmurze. ";;;;;;;;;
;"kod tezy:";;;;;;;;;
"8.1";"Ilość użytkowników telefonii mobilnej (w mln) korzystających z mobilnych SWD (świat)";;;;;;;;;
;"kod pytania:";"Q";;;;;;;;
;"jednostka:";"mln";;;;;;;;
;"sposób analizy:";;;;;;;;;
;"id użytkownika";"Współczynnik kompetencji";"Współczynnik samooceny";"Stan obecny";"Stan w roku 2015";"Stan w roku 2020";"Stan w roku 2025";"Dalszy rozwój do roku 2030";"Uwagi";"Stopień pewności"
"8.1";68;0,5;0,2;"n/a";500;1200;2300;3000;"Liczba użytkowników SWD na urządzeniach mobilnych będzie rosła wraz z rozwojem dostępności do urządzeń.";"jestem raczej pewnien (pewna)"
"8.1";140;0,8;0,2;"n/a";20;30;40;50;;"wyrażam tylko swój subiektywny pogląd"
"8.1";248;0,4;0,2;"n/a";2;3;4;;;"wyrażam tylko swój subiektywny pogląd"
"8.1";284;0,8;0,2;"n/a";1;2;4;8;"Wzrost liczby obszarów zastosowań mobilnych swd i ogólny rozwój mobilnych systemów informacyjnych spowoduje wzrost liczby użytkowników";"wyrażam tylko swój subiektywny pogląd"
"8.1";315;0,6;0,75;"n/a";5000;7000;8000;9000;"Nie jestem specjalistą w dziedzinie telefonii mobilnej";"wyrażam tylko swój subiektywny pogląd"
"8.1";344;1;0,5;"n/a";5;10;15;20;;"wyrażam tylko swój subiektywny pogląd"
"8.1";347;0,5;0,2;"n/a";400;1000;2800;3500;"""Rosnąć będzie zarówno ilość użytkowników telefonii mobilnej, jak i wykorzystanie mobilnych SWD ze względu na ich ekspansję w coraz nowsze obszary zastosowań""";"pewność"
"8.1";353;0,5;0,2;"n/a";5;20;40;60;;"wyrażam tylko swój subiektywny pogląd"
"8.1";354;0,5;0,2;"n/a";3;10;20;45;"znacznie statystykę będą zaniżać kraje biedne, w których posiadane urządzenia mobilne uniemożliwiają stosowanie takich aplikacji albo nie posiadają takich urządzeń";"wyrażam tylko swój subiektywny pogląd"
"8.1";361;0,6;0,2;"n/a";90;90;100;100;;"wyrażam tylko swój subiektywny pogląd"
"8.1";363;0,5;0,2;"n/a";2;3;4;5;;"wyrażam tylko swój subiektywny pogląd"
"8.1";364;0,6;0,2;"n/a";3;10;25;50;"oszacowanie własne na podstawie ogólnej wiedzy";"wyrażam tylko swój subiektywny pogląd"
"8.1";367;0,7;0,2;"n/a";100000;120000;150000;160000;"opinia własna";"wyrażam tylko swój subiektywny pogląd"
"8.1";398;0,1;0,2;"n/a";3;5;10;10;;"wyrażam tylko swój subiektywny pogląd"
"8.1";407;0,5;0,2;"n/a";2;10;25;50;"Aktualnie rozwiązania tego typu nie istnieją lub mają marginalne znaczenie, jednak przewiduję że wraz z powstaniem większej liczby rozwiązań tej klasy znacząco wzrośnie liczba użytkowników.";"wyrażam tylko swój subiektywny pogląd"
"8.1";413;0,5;0,2;"n/a";10;25;35;40;"Sam fakt wzrostu liczby użytkowników smartfonów, powoduje wzrost SWD.";"wyrażam tylko swój subiektywny pogląd"
"8.1";415;0,5;0,2;"n/a";1;3;5;10;"Istnieje bardzo duży procent osób nie posiadających telefonii mobilnej, stąd udział użytkowników korzystających z mobilnych SWD jest znikomy";"wyrażam tylko swój subiektywny pogląd"
"8.1";416;0,9;0,2;"n/a";5;20;40;55;"Aktualnie liczba ta jest mała, jednak wzrastająca popularność i rozwój technologii, przede wszystkim augmented reality spowoduje w najbliższym czasie gwałtowny wzrost liczby użytkowników mobilnych SWD.";"wyrażam tylko swój subiektywny pogląd"
"8.1";417;0,01;0,2;"n/a";25;30;30;30;;"wyrażam tylko swój subiektywny pogląd"
"8.1";418;0,5;0,2;"n/a";30;35;40;45;"Do mobilnych SWD zaliczam: prognozy pogody, prognozy długości życia (nieco z przymróżeniem oka), generatory diet, wszelkiego rodzaju poradniki bazujące na zgromadzonych danych.";"wyrażam tylko swój subiektywny pogląd"
"8.1";421;0,5;0,2;"n/a";20;50;250;1000;"Szacowana liczba użytkowników mobilnego internetu w roku 2015 ma wynosić 2 mld ludzi. Przypuszczalnie 1% z nich może w tym czasie korzystać już z mobilnego SWD. Liczba ta będzie następnie rosnąc wraz ze wzrostem popularności tej technologi, przyrostem ogólnej ilości użytkowników technologii mobilnej, jak i wzrostu procentowego udziału smarfonów w rynku, na które to urządzenia będą głównie takie systemy dedykowane. (Dane powinny być podawane w mln)";"wyrażam tylko swój subiektywny pogląd"
"8.1";423;0,6;0,2;"n/a";250;500;500;750;"Obecnie na świecie jest ok. 6 mld używanych telefonów komórkowych (http://www.digitaltrends.com/mobile/mobile-phone-world-population-2014/). Zakładając, że na 10 telefonów przypada 8 użytkowników, można ilość użytkowników telefonii mobilnej przyjąć na ok. 5 mld z perspektywą szybkiego wzrostu. Prognozuję, że ok. 5% użytkowników telefonii mobilnej będzie w najbliższym czasie korzystać z mobilnych SWD (250 mln) i ta liczba będzie powoli wzrastać, wraz zwiększonym zainteresowaniem korzystania z takich systemów.";"wyrażam tylko swój subiektywny pogląd"
"8.1";452;0,5;0,2;"n/a";3;50;400;1000;"Mobilne SWD mają zastosowanie jedynie dla smart fonów. Szacunkowe wartości biorą pod uwagę ilość tego typu telefonów sprzedawanych obecnie (ok. 500 mln.), jak również czas potrzebny do stworzenia zarówno odpowiedniej infrastruktury i urządzeń. Także ważnym czynnikiem jest akceptacja społeczna dla interfejsów neurokognitywnych, która w początkowej fazie rozwoju może być mocno ograniczona. Dalsze lata i udoskonalenia interfejsów jak i zwiększenie się akceptacji użytkowników spowoduje duży przyrost osób korzystających z mobilnych SWD.";"jestem raczej pewnien (pewna)"
"8.1";462;0,5;0,4;"n/a";1;"1.3";"1.5";3;"Rynek urządzeń mobilnych jest jednym z najszybciej się rozwijających segmentów IT. Aktualnie liczba użytkowników mobilnych SWD jest niska, ale w przyszłości może się to znacznie zmienić.";"wyrażam tylko swój subiektywny pogląd"
"8.1";465;0,5;0,2;"n/a";20;27;35;50;"JEDNOSTKA: MLN Rynek mobilnycyh SWD, chmury obliczeniowe, synchronizacja - zagadnienia te istnieją od niedawna, wciąż większość ludzi nie jest z nimi zaznajomiona. Jednak połączenie tych aspektów zapewnia niezwykłe możliwości, dlatego uważam, że mimo iż obecnie wspólczynnik ten jest bardzo niski, będzie on rósł bardzo dynamicznie.";"wyrażam tylko swój subiektywny pogląd"
"8.1";494;0,8;0,5;"n/a";;;;;"Niestety nie posiadam informacji, które pozwoliłyby na prognozowanie liczby użytkowników.";"wyrażam tylko swój subiektywny pogląd"
"8.1";506;0,7;0,2;"n/a";1;3;5;10;"mhealthsummit.org";"wyrażam tylko swój subiektywny pogląd"
"8.1";512;0,5;0,2;"n/a";40;500;1000;2000;"Liczba użytkowników telefonii mobilnej korzystających z mobilnych SWD będzie gwałtownie rosła w miarę jak będą rozwijane.";"wyrażam tylko swój subiektywny pogląd"
"8.1";513;0,5;0,2;"n/a";500;1000;2000;4000;"Obecnie szeroko wykorzystuje się aplikacje takie jak Siri, które w pewnym sensie wspomagają decyzje np. wyboru restauracji w okolicy";"wyrażam tylko swój subiektywny pogląd"
"8.1";514;0,5;0,2;"n/a";10;100;200;500;"W początkowej fazie ilość użytkowników nie będzie zbyt duża ze względu na koszty technologii, z czasem gdy stanie się ona tańsza, liczba użytkowników wzrośnie znacząco";"jestem raczej pewnien (pewna)"
"8.1";517;0,5;0,2;"n/a";1000;2000;4000;7000;"Już teraz każdy korzysta z prostych systemów wspomagania decyzji (chociażby Google Now, inteligentna nawigacja omijająca korki) Trend ten będzie coraz bardziej wzrostowy";"wyrażam tylko swój subiektywny pogląd"
"8.1";520;0,5;0,2;"n/a";30000000;100000000;200000000;350000000;;"wyrażam tylko swój subiektywny pogląd"
"8.1";523;0,4;0,75;"n/a";101;102;102;106;"eurostat, computerworld";"wyrażam tylko swój subiektywny pogląd"
"8.1";524;0,2;0,2;"n/a";20000;20000;22000;22000;"Opinia własna";"wyrażam tylko swój subiektywny pogląd"
